BolgeAdi;BolgeAdresi;BolgeKapasite;PeronAdi;PeronAdres;peronKapasite;PeronKoordinat;PeronAcilisSaati;PeronKapanisSaati;
ZÝNDANKALE;Konya Zindankale;77;ZÝNDANKALE PERON 2;ZÝNDANKALE;23;[[32.48686462640762, 37.8728907124379], [32.487594187259674, 37.87337768241885]];800;1900;
ZÝNDANKALE;Konya Zindankale;77;ZÝNDANKALE PERON 1;ZÝNDANKALE;30;[[32.4868753552437, 37.8728949469733], [32.4874064326286, 37.8732591161112]];0;2400;
ZÝNDANKALE;Konya Zindankale;77;ZÝNDANKALE PERON 3;Hüsnü Aþk þk.;24;[[[32.48814672231674, 37.8729881066916], [32.487803399562836, 37.87337556516502], [32.48780071735382, 37.87333533733089], [32.48812526464462, 37.872973285835215], [32.48814672231674, 37.8729881066916]]];800;1900;
MERAM BÖLGESÝ;KONYA MERAM;636;MERAM-1;MERAM;300;[[32.7478837966919, 39.8770403869553], [32.7476692199707, 39.8767357450676], [32.7474117279053, 39.8764146345857], [32.7473258972168, 39.8761346908878]];1230;2300;
MERAM BÖLGESÝ;KONYA MERAM;636;MERAM BAÐLARI;MERAM BAÐLARI;100;[32.4200373888016, 37.8516916957049];800;2400;
MERAM BÖLGESÝ;KONYA MERAM;636;MERAM TÜRBE;MERAM TÜRBE;50;[[32.7478837966919, 39.8770403869553], [32.7476692199707, 39.8767357450676], [32.7474117279053, 39.8764146345857], [32.7473258972168, 39.8761346908878]];1100;2330;
MERAM BÖLGESÝ;KONYA MERAM;636;MERAM-5 ÞÖMÝNE-1;;40;[[32.7478837966919, 39.8770403869553], [32.7476692199707, 39.8767357450676], [32.7474117279053, 39.8764146345857], [32.7473258972168, 39.8761346908878]];1230;2200;
MERAM BÖLGESÝ;KONYA MERAM;636;MERAM KOPRU;MERAM KOPRU;11;[[32.4226927757263, 37.8530810098505], [32.4229609966278, 37.8530090033582]];830;2300;
MERAM BÖLGESÝ;KONYA MERAM;636;MERAM OPERA;MERAM OPERA;100;[32.4211585521698, 37.8521195055943];1000;2400;
MERAM BÖLGESÝ;KONYA MERAM;636;MERAM ÇAMLIBEL;MERAM ÇAMLIBEL;35;[[32.7478837966919, 39.8770403869553], [32.7476692199707, 39.8767357450676], [32.7474117279053, 39.8764146345857], [32.7473258972168, 39.8761346908878]];1330;2330;
KONEVÝ OTOPARKI BÖLGE;KONEVÝ OTOPARKI;297;KONEVÝ KAPALI;;297;[32.486722469329834, 37.869810023403076];0;2400;
ÝPLÝKÇÝ BÖLGE;ÝPLÝKÇÝ;250;ÝPLÝKÇÝ YUKARI;;50;[32.496048510074615, 37.87174102706044];0;2400;
ÝPLÝKÇÝ BÖLGE;ÝPLÝKÇÝ;250;ÝPLÝKÇÝ AÞAÐI;;200;[32.49611556529999, 37.87186171310859];0;2400;
MEVLANA ÇARÞI KATLI OTOPARKI;MEVLANA CAD.;333;MEVLANA KATLI;;333;[32.50303566455841, 37.86999635052348];0;2400;
MEVLANA CADDESÝ BÖLGE;MEVLANA CAD.;37;MEVLANA CAD-1;MEVLANA CAD.;10;[[32.50077188014984, 37.87152929667369], [32.50160336494446, 37.87132603492996]];800;1900;
MEVLANA CADDESÝ BÖLGE;MEVLANA CAD.;37;MEVLANA CAD-2;MEVLANA CAD.;10;[[32.501683831214905, 37.87133238686793], [32.50253677368164, 37.87115241507978]];800;1900;
MEVLANA CADDESÝ BÖLGE;MEVLANA CAD.;37;MEVLANA CAD-3;MEVLANA CAD.;17;[[32.502665519714355, 37.87125404626123], [32.50193327665329, 37.87140861008098]];800;1900;
ÞERAFETTÝN BÖLGE-1;ÞERAFETTÝN BÖLGE-1;31;ÞERAFETTÝN CAD.3;ÞERAFETTÝN CAD.;13;[[32.499693632125854, 37.87315960495578], [32.4986046552658, 37.87312996330904]];800;1900;
ÞERAFETTÝN BÖLGE-1;ÞERAFETTÝN BÖLGE-1;31;ÞERAFETTÝN CAD.4;ÞERAFETTÝN CAD.;18;[[32.49604046344757, 37.873197715626944], [32.49562203884125, 37.87348566228296]];800;1900;
YAPICI;YAPICI;45;YAPICI-1;YAPICI;15;[[32.484930753707886, 37.87541656960282], [32.48483955860138, 37.87576378879583]];800;1900;
YAPICI;YAPICI;45;YAPICI-2;YAPICI;15;[[32.484831511974335, 37.87578496064489], [32.48478055000305, 37.876072897188166]];800;1900;
YAPICI;YAPICI;45;YAPICI-3;YAPICI;15;[[32.484675943851464, 37.876453987941304], [32.48477786779404, 37.87608348306905]];800;1900;
NALÇACI;NALÇACI CAD.;80;NALÇACI-1;;50;[[32.49358892440795, 37.88628968151045], [32.49416291713714, 37.886789264121056]];800;1900;
NALÇACI;NALÇACI CAD.;80;NALÇACI-2;;15;[[32.49358892440795, 37.88628968151045], [32.49416291713714, 37.886789264121056]];800;1900;
NALÇACI;NALÇACI CAD.;80;NALÇACI-3;;15;[[32.49487638473511, 37.88734811522824], [32.494157552719116, 37.886801965329674]];800;1900;
FURGANDEDE CAD;FURGANDEDE CAD.;127;FURGANDEDE-1;;17;[[32.49659299850464, 37.86626971858856], [32.49605119228363, 37.86611302652604]];800;1900;
FURGANDEDE CAD;FURGANDEDE CAD.;127;FURGANDEDE-2;;17;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
FURGANDEDE CAD;FURGANDEDE CAD.;127;FURGANDEDE-3;;16;[[32.49600827693939, 37.86598174373068], [32.49682366847992, 37.86617655037532]];800;1900;
FURGANDEDE CAD;FURGANDEDE CAD.;127;FURGANDEDE-5;;15;[[32.49030590057372, 37.86600715332222], [32.49131441116333, 37.86604526769314]];800;1900;
FURGANDEDE CAD;FURGANDEDE CAD.;127;FURGANDEDE-6;;15;[[32.498899698257446, 37.86634594703902], [32.49943077564239, 37.86630359790962], [32.49984383583068, 37.86629936299531], [32.50028371810913, 37.86634594703902]];800;1900;
FURGANDEDE CAD;FURGANDEDE CAD.;127;FURGANDEDE-7;;15;[[32.499409317970276, 37.86616808053192], [32.49788582324982, 37.866371356505006], [32.497671246528625, 37.866379826325044], [32.49737620353698, 37.86634171212718]];800;1900;
FURGANDEDE CAD;FURGANDEDE CAD.;127;FURGANDEDE-8;;15;[[32.490472197532654, 37.86586316552091], [32.49152898788452, 37.865884340215224]];800;1900;
FURGANDEDE CAD;FURGANDEDE CAD.;127;FURGANDEDE-4;;17;[[32.49776244163513, 37.86650687350885], [32.498432993888855, 37.86643488013157]];800;1900;
BELEDÝYE HASTANESÝ BÖLGE;BELEDÝYE HASTANESÝ;125;BELEDÝYE HASTANESÝ;;125;[32.4892920255661, 37.878355177912155];0;2400;
ÝÞ MERKEZLERÝ BÖLGESÝ;DEMÝRCÝ ÝÞ MERKEZÝ;238;DEMÝRCÝ-1;DEMÝRCÝ ÝÞ MERKEZÝ;70;[32.4838364124298, 37.877118774869];800;1900;
ÝÞ MERKEZLERÝ BÖLGESÝ;DEMÝRCÝ ÝÞ MERKEZÝ;238;DEMÝRCÝ-2;;72;[32.4828279018402, 37.8771653520722];800;1900;
ÝÞ MERKEZLERÝ BÖLGESÝ;DEMÝRCÝ ÝÞ MERKEZÝ;238;NÜVE;;61;[32.4848878383636, 37.8775887798408];800;1900;
ÝÞ MERKEZLERÝ BÖLGESÝ;DEMÝRCÝ ÝÞ MERKEZÝ;238;KEMERLÝ;;35;[32.4838095903397, 37.8782154484714];800;1900;
HULUSÝ BAYBAL BÖLGE;HULUSÝ BAYBAL CAD;120;HULUSÝ BAYBAL CAD.1;;15;[[32.484201192855835, 37.87709336910942], [32.483959794044495, 37.877203460671026], [32.48387932777405, 37.877309317786604], [32.48378276824951, 37.87744058039865], [32.48372912406921, 37.8775040944818], [32.483702301979065, 37.87754643717348], [32.483675479888916, 37.877584545575175]];800;1900;
HULUSÝ BAYBAL BÖLGE;HULUSÝ BAYBAL CAD;120;HULUSÝ BAYBAL CAD.2;;15;[[32.485193610191345, 37.879786330861606], [32.48552083969116, 37.88020974356333], [32.48553693294525, 37.880556940162414], [32.485531568527215, 37.8808829647471]];800;1900;
HULUSÝ BAYBAL BÖLGE;HULUSÝ BAYBAL CAD;120;HULUSÝ BAYBAL CAD.3;;15;[[32.48534917831421, 37.88104809353162], [32.48532772064209, 37.880374873857235]];800;1900;
HULUSÝ BAYBAL BÖLGE;HULUSÝ BAYBAL CAD;120;HULUSÝ BAYBAL CAD.5;;15;[[32.48589634895325, 37.882449556258834], [32.486228942871094, 37.88293222909039]];800;1900;
HULUSÝ BAYBAL BÖLGE;HULUSÝ BAYBAL CAD;120;HULUSÝ BAYBAL CAD.6;;15;[[32.48452842235565, 37.87934174490509], [32.48524188995361, 37.88021821179253]];800;1900;
HULUSÝ BAYBAL BÖLGE;HULUSÝ BAYBAL CAD;120;HULUSÝ BAYBAL CAD.7;;15;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
HULUSÝ BAYBAL BÖLGE;HULUSÝ BAYBAL CAD;120;HULUSÝ BAYBAL CAD.8;;15;[[32.48358964920044, 37.878439862292666], [32.484169006347656, 37.87901147931447]];800;1900;
HULUSÝ BAYBAL BÖLGE;HULUSÝ BAYBAL CAD;120;HULUSÝ BAYBAL CAD.4;;15;[[32.48535990715027, 37.88203885846382], [32.485923171043396, 37.882767104530316]];800;1900;
HAZIM ULUÞAHÝN HAVUZ;HAZIM ULUÞAHÝN HAVUZ;160;HAZIMULUÞAHÝN-1;;20;[[32.482489943504326, 37.87700868318084], [32.482479214668274, 37.87669957871532]];800;1900;
HAZIM ULUÞAHÝN HAVUZ;HAZIM ULUÞAHÝN HAVUZ;160;HAZIMULUÞAHÝN-2;;70;[[32.482436299324, 37.8770340889696], [32.4814224243164, 37.8770933691094]];800;1900;
HAZIM ULUÞAHÝN HAVUZ;HAZIM ULUÞAHÝN HAVUZ;160;HAZIMULUÞAHÝN-3;;70;[[32.4814063310623, 37.8767376875551], [32.4822968244553, 37.8767249846107]];800;1900;
TIP FAKÜLTESÝ BÖLGE;TIP FAKÜLTESÝ HASTANESÝ;101;TIP-2;;34;[[32.4294894933701, 37.8755647731171], [32.4301278591156, 37.8752302561904]];800;1900;
TIP FAKÜLTESÝ BÖLGE;TIP FAKÜLTESÝ HASTANESÝ;101;TIP-3;;34;[[32.4306589365005, 37.8750905208219], [32.4314314126968, 37.8749380819357]];800;1900;
TIP FAKÜLTESÝ BÖLGE;TIP FAKÜLTESÝ HASTANESÝ;101;TIP-4;;33;[[32.4291783571243, 37.8758654136159], [32.4295270442963, 37.8764709252624]];800;1900;
KOSKÝ;KOSKÝ;75;KOSKÝ 1;;30;[[32.48331069946289, 37.87059767574328], [32.48276889324188, 37.870580737071855]];600;2030;
KOSKÝ;KOSKÝ;75;KOSKÝ 2;;30;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];0;2400;
KOSKÝ;KOSKÝ;75;KOSKÝ 3;KOSKÝ 3;15;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];700;1900;
OTOGAR;OTOGAR;236;OTOGAR-1;OTOGAR;136;[32.509419322013855, 37.94911733041157];0;2400;
OTOGAR;OTOGAR;236;OTOGAR-2;OTOGAR-2;100;[32.5073325634003, 37.9495995659774];0;2400;
HALLER BÖLGESÝ;HALLER;1500;ADNAN MENDERES HAL;;1000;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];0;2400;
HALLER BÖLGESÝ;HALLER;1500;KARATAY HAL;;500;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];0;2400;
YENÝ KAMYON GARAJI;YENÝ KAMYON GARAJI;250;YENÝ KAMYON GARAJI;YENÝ KAMYON GARAJI;250;[32.522422671318054, 37.92965183047878];0;2400;
MELÝKE HATUN ÇARÞISI BÖLGE;MELÝKE HATUN ÇARÞISI;140;CIVILOÐLU ÇARÞISI;CIVILOÐLU ÇARÞISI;10;[[32.501195669174194, 37.86771381083023], [32.50174283981323, 37.86807377076557]];800;1900;
MELÝKE HATUN ÇARÞISI BÖLGE;MELÝKE HATUN ÇARÞISI;140;MELÝKE HATUN ÇRÞ-1;MELÝKE HATUN ÇRÞ-1;25;[[32.50087916851044, 37.86868993339709], [32.50091135501861, 37.86784932536523]];800;1900;
MELÝKE HATUN ÇARÞISI BÖLGE;MELÝKE HATUN ÇARÞISI;140;KARATAY BELEDÝYESÝ ÖNÜ VE KARÞISI;MELÝKE HATUN ÇRÞ.-CÝÐERCÝ;20;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
MELÝKE HATUN ÇARÞISI BÖLGE;MELÝKE HATUN ÇARÞISI;140;KARATAY BEL.ONU.-1;KARATAY BEL.ONU.-1;30;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];800;1900;
MELÝKE HATUN ÇARÞISI BÖLGE;MELÝKE HATUN ÇARÞISI;140;MELÝKE HATUN ÇRÞ.-AKBANK-HÝLAL;MELÝKE HATUN ÇRÞ.-AKBANK-HÝLAL;25;[[32.501021325588226, 37.86774557207174], [32.501332461833954, 37.86797637001543], [32.501442432403564, 37.86809071001333]];800;1900;
MELÝKE HATUN ÇARÞISI BÖLGE;MELÝKE HATUN ÇARÞISI;140;KARATAY BEL.ONU.-2;KARATAY BEL.ONU.-2;30;[[32.747883796691895, 39.87704038695533], [32.7476692199707, 39.876735745067556], [32.74741172790527, 39.87641463458575], [32.7473258972168, 39.87613469088777]];0;2400;
ALAEDDÝN;ALAEDDÝN CAD;24;ALAEDDÝN CAD.1;ALAEDDÝN CAD.;15;[[32.4921190738678, 37.870724715654724], [32.49290227890015, 37.87101267197637]];800;1900;
ALAEDDÝN;ALAEDDÝN CAD;24;ALAEDDÝN CAD.2;ALAEDDÝN CAD.;9;[[32.492961287498474, 37.87103384519088], [32.493256330490105, 37.87119052678925]];800;1900;
